03-08-12-13-20-+4    (2017/11/29 M)  n°  116  |X.... |  12312| |   m10=|.XX.2.X..........|  (121.. | 1....)|   m49=|.xXx..xXx|.xXXx....x|Xx........|..........|..........| 
24-33-35-39-45-+1    (2017/12/02 S)  n°  117  |..X.. |1166327| |   m10=|........X..2.X.X.|  (..11. | ...21)|   m49=|.........|..........|...xXx....|..xXxXx.xX|x...xXx...| 
15-23-32-41-43-+8    (2017/12/04 L)  n°  118  |.X... | 946799| |   m10=|.....X.X..X..XX..|  (..112 | .1...)|   m49=|.........|....xXx...|..xXx.....|.xXx......|xXxXx.....| 
07-12-27-30-38-+1    (2017/12/06 M)  n°  119  |X.... | 462310| |   m10=|..X.X....XX.X....|  (.1.1. | 1.11.)|   m49=|.....xXx.|.xXx......|......xXxx|Xx.....xXx|..........| 
10-23-46-48-49-+8    (2017/12/09 S)  n°  120  |...X. |1905100| |   m10=|...X...X.......X2|  (.11.. | ....3)|   m49=|........x|Xx........|..xXx.....|..........|.....xXxXX| 
26-29-34-43-47-+4    (2017/12/11 L)  n°  121  |..X.. |1488544| |   m10=|........XX.X..XX.|  (...11 | ..2.1)|   m49=|.........|..........|.....xXxxX|x..xXx....|..xXx.xXx.| 
17-24-28-43-49-+8    (2017/12/13 M)  n°  122  |...X. |1827429| |   m10=|.....X..XX....X.X|  (..1.1 | .11.1)|   m49=|.........|......xXx.|...xXx.xXx|..........|..xXx...xX| 
09-15-20-48-49-+6    (2017/12/16 S)  n°  123  |...X. |1891738| |   m10=|...X.XX.........2|  (..1.. | 11..2)|   m49=|.......xX|x...xXx..x|Xx........|..........|.......xXX| 
10-11-29-39-48-+9    (2017/12/18 L)  n°  124  |...X. |1611085| |   m10=|...2.....X...X..X|  (.2... | ..111)|   m49=|........x|XXx.......|........xX|x.......xX|x......xXx| 
06-10-11-13-24-+9    (2017/12/20 M)  n°  125  |X.... |  34306| |   m10=|..X2X...X........|  (.31.. | 1....)|   m49=|....xXx.x|XXxXx.....|...xXx....|..........|..........| 
04-06-08-44-48-+10   (2017/12/23 S)  n°  126  |...X. |1657398| |   m10=|.X2...........X.X|  (1...1 | 2...1)|   m49=|..xXxXxXx|..........|..........|..........|...xXx.xXx| 
03-06-10-29-31-+8    (2017/12/25 L)  n°  127  |X.... | 163078| |   m10=|.XXX.....XX......|  (11.1. | 1.1..)|   m49=|.xXxxXx.x|Xx........|........xX|xXx.......|..........| 
06-07-14-22-48-+8    (2017/12/27 M)  n°  128  |...X. |1540231| |   m10=|..2.X..X........X|  (.11.. | 2...1)|   m49=|....xXXx.|...xXx....|.xXx......|..........|.......xXx| 
12-13-28-35-40-+8    (2017/12/30 S)  n°  129  |X.... | 625136| |   m10=|....2....X.X.X...|  (.2..1 | ..11.)|   m49=|.........|.xXXx.....|.......xXx|....xXx..x|Xx........| 
07-09-10-14-43-+1    (2018/01/01 L)  n°  130  |.X... | 851502| |   m10=|..X2X.........X..|  (.2..1 | 2....)|   m49=|.....xXxX|Xx.xXx....|..........|..........|..xXx.....| 
04-23-27-34-44-+4    (2018/01/03 M)  n°  131  |.X... |1006353| |   m10=|.X.....X.X.X..X..|  (1.111 | ..1..)|   m49=|..xXx....|..........|..xXx.xXx.|...xXx....|...xXx....| 
06-17-31-40-45-+9    (2018/01/06 S)  n°  132  |..X.. |1172445| |   m10=|..X..X....X..X.X.|  (...11 | 11..1)|   m49=|....xXx..|......xXx.|..........|xXx......x|Xx..xXx...| 
08-37-43-44-45-+2    (2018/01/08 L)  n°  133  |..X.. |1221536| |   m10=|..X.........X.2X.|  (....2 | 1..11)|   m49=|......xXx|..........|..........|......xXx.|..xXXXx...| 
07-09-16-18-49-+3    (2018/01/10 M)  n°  134  |...X. |1715174| |   m10=|..XX.XX.........X|  (..... | 22..1)|   m49=|.....xXxX|x....xXxXx|..........|..........|........xX| 
20-31-35-36-48-+10   (2018/01/13 S)  n°  135  |...X. |1592738| |   m10=|......X...XXX...X|  (..11. | ...21)|   m49=|.........|.........x|Xx........|xXx.xXXx..|.......xXx| 
02-05-15-22-28-+2    (2018/01/15 L)  n°  136  |X.... |  87087| |   m10=|XX...X.X.X.......|  (1.1.. | 111..)|   m49=|xXxxXx...|....xXx...|.xXx...xXx|..........|..........| 
04-16-25-40-49-+3    (2018/01/17 M)  n°  137  |...X. |1796688| |   m10=|.X...X..X....X..X|  (1...1 | .11.1)|   m49=|..xXx....|.....xXx..|....xXx...|.........x|Xx......xX| 
27-32-38-44-46-+7    (2018/01/20 S)  n°  138  |..X.. |1353431| |   m10=|.........XX.X.XX.|  (...11 | ..111)|   m49=|.........|..........|......xXx.|.xXx...xXx|...xXxXx..| 
01-11-14-16-31-+2    (2018/01/22 L)  n°  139  |X.... | 144203| |   m10=|X..XXX....X......|  (12.1. | .1...)|   m49=|Xx.......|xXxxXxXx..|..........|xXx.......|..........| 
09-23-28-35-37-+5    (2018/01/24 M)  n°  140  |X.... | 426533| |   m10=|...X...X.X.XX....|  (..1.. | 1.12.)|   m49=|.......xX|x.........|..xXx..xXx|....xXxXx.|..........| 
